Time	Zone	Year	Mark	Status
2019-02-20 23:59:27	EST	2016	:	opened
2019-02-21 00:00:45	EST	2016	:	subseted
2019-02-21 00:00:52	EST	2016	|	processed
2019-02-21 00:02:10	EST	2015	:	opened
2019-02-21 00:03:44	EST	2015	:	subseted
2019-02-21 00:03:51	EST	2015	|	processed
2019-02-21 00:05:29	EST	2014	:	opened
2019-02-21 00:07:17	EST	2014	:	subseted
2019-02-21 00:07:26	EST	2014	|	processed
2019-02-21 00:08:58	EST	2013	:	opened
2019-02-21 00:10:42	EST	2013	:	subseted
2019-02-21 00:10:48	EST	2013	|	processed
2019-02-21 00:12:03	EST	2012	:	opened
2019-02-21 00:13:21	EST	2012	:	subseted
2019-02-21 00:13:28	EST	2012	|	processed
2019-02-21 00:14:50	EST	2011	:	opened
2019-02-21 00:16:21	EST	2011	:	subseted
2019-02-21 00:16:29	EST	2011	|	processed
2019-02-21 00:17:44	EST	2010	:	opened
2019-02-21 00:18:57	EST	2010	:	subseted
2019-02-21 00:19:06	EST	2010	|	processed
2019-02-21 00:20:26	EST	2009	:	opened
2019-02-21 00:21:34	EST	2009	:	subseted
2019-02-21 00:21:40	EST	2009	|	processed
2019-02-21 00:23:18	EST	2008	:	opened
2019-02-21 00:24:34	EST	2008	:	subseted
2019-02-21 00:24:43	EST	2008	|	processed
2019-02-21 00:26:11	EST	2007	:	opened
2019-02-21 00:27:44	EST	2007	:	subseted
2019-02-21 00:27:55	EST	2007	|	processed
2019-02-21 00:29:24	EST	2006	:	opened
2019-02-21 00:31:21	EST	2006	:	subseted
2019-02-21 00:31:30	EST	2006	|	processed
2019-02-21 00:32:49	EST	2005	:	opened
2019-02-21 00:34:42	EST	2005	:	subseted
2019-02-21 00:34:50	EST	2005	|	processed
2019-02-21 00:36:04	EST	2004	:	opened
2019-02-21 00:37:37	EST	2004	:	subseted
2019-02-21 00:37:44	EST	2004	|	processed
2019-02-21 00:38:54	EST	2003	:	opened
2019-02-21 00:40:03	EST	2003	:	subseted
2019-02-21 00:40:12	EST	2003	|	processed
2019-02-21 00:41:31	EST	2002	:	opened
2019-02-21 00:42:41	EST	2002	:	subseted
2019-02-21 00:42:48	EST	2002	|	processed
2019-02-21 00:43:57	EST	2001	:	opened
2019-02-21 00:44:59	EST	2001	:	subseted
2019-02-21 00:45:06	EST	2001	|	processed
2019-02-21 00:48:02	EST	0000	|	uploaded model_train
2019-02-21 00:49:47	EST	0000	:	trained model
2019-02-21 00:53:43	EST	0000	|	uploaded margins_model
