Time	Zone	Year	Mark	Status
2019-02-09 02:14:43	EST	2016	:	opened
2019-02-09 02:14:45	EST	2016	#	17685094
2019-02-09 02:19:10	EST	2016	:	subseted
2019-02-09 02:30:59	EST	2016	|	uploaded
2019-02-11 08:39:30	EST	2010	:	opened
2019-02-11 08:39:32	EST	2010	#	15876945
2019-02-11 08:44:01	EST	2010	:	subseted
2019-02-11 08:54:35	EST	2010	|	uploaded
2019-02-11 09:25:21	EST	2009	:	opened
2019-02-11 09:25:21	EST	2009	#	15316473
2019-02-11 09:28:44	EST	2009	:	subseted
2019-02-11 09:39:52	EST	2009	|	uploaded
2019-02-11 10:12:57	EST	2008	:	opened
2019-02-11 10:12:57	EST	2008	#	15666737
2019-02-11 10:14:26	EST	2008	:	subseted
2019-02-11 10:28:22	EST	2008	|	uploaded
2019-02-11 11:00:45	EST	2007	:	opened
2019-02-11 11:00:45	EST	2007	#	15487767
2019-02-11 11:02:20	EST	2007	:	subseted
2019-02-11 11:15:17	EST	2007	|	uploaded
2019-02-11 11:42:34	EST	2006	:	opened
2019-02-11 11:42:34	EST	2006	#	14878529
2019-02-11 11:48:30	EST	2006	:	subseted
2019-02-11 11:58:39	EST	2006	|	uploaded
2019-02-11 12:23:59	EST	2005	:	opened
2019-02-11 12:23:59	EST	2005	#	14460469
2019-02-11 12:27:49	EST	2005	:	subseted
2019-02-11 12:37:22	EST	2005	|	uploaded
2019-02-11 13:03:03	EST	2004	:	opened
2019-02-11 13:03:03	EST	2004	#	13812776
2019-02-11 13:04:04	EST	2004	:	subseted
2019-02-11 13:13:34	EST	2004	|	uploaded
2019-02-11 13:36:49	EST	2003	:	opened
2019-02-11 13:36:49	EST	2003	#	13111114
2019-02-11 13:37:45	EST	2003	:	subseted
2019-02-11 13:47:08	EST	2003	|	uploaded
2019-02-11 14:07:56	EST	2002	:	opened
2019-02-11 14:07:56	EST	2002	#	12647370
2019-02-11 14:11:15	EST	2002	:	subseted
2019-02-11 14:19:31	EST	2002	|	uploaded
2019-02-11 14:39:23	EST	2001	:	opened
2019-02-11 14:39:24	EST	2001	#	12232681
2019-02-11 14:40:16	EST	2001	:	subseted
2019-02-11 14:49:16	EST	2001	|	uploaded
2019-02-11 14:49:32	EST	2016	|	already the newest
2019-02-11 15:53:36	EST	2015	:	opened
2019-02-11 15:53:36	EST	2015	#	17644248
2019-02-11 15:56:17	EST	2015	:	subseted
2019-02-11 17:37:08	EST	2015	|	uploaded
2019-02-11 19:21:20	EST	2014	:	opened
2019-02-11 19:21:21	EST	2014	#	17399390
2019-02-11 19:24:00	EST	2014	:	subseted
2019-02-11 21:06:24	EST	2014	|	uploaded
2019-02-11 22:50:03	EST	2013	:	opened
2019-02-11 22:50:03	EST	2013	#	17287515
2019-02-11 22:52:42	EST	2013	:	subseted
2019-02-12 00:30:08	EST	2013	|	uploaded
2019-02-12 02:11:03	EST	2012	:	opened
2019-02-12 02:11:03	EST	2012	#	16844720
2019-02-12 02:16:24	EST	2012	:	subseted
2019-02-12 03:52:32	EST	2012	|	uploaded
2019-02-12 05:29:22	EST	2011	:	opened
2019-02-12 05:29:22	EST	2011	#	16141385
2019-02-12 05:31:38	EST	2011	:	subseted
2019-02-12 07:05:14	EST	2011	|	uploaded
