"Year","extractDate","publicationDate"
"2013","2019-01-16T00:00:00","2018-12-31T00:00:00"
"2016","2019-01-16T00:00:00","2019-01-09T00:00:00"
"2014","2019-01-17T00:00:00","2018-12-26T00:00:00"
"2012","2019-01-17T00:00:00","2018-12-26T00:00:00"
"2011","2019-01-17T00:00:00","2018-12-23T00:00:00"
"2015","2019-01-22T00:00:00","2019-01-18T00:00:00"
"2010","2019-01-16T00:00:00","2018-12-26T00:00:00"
"2009","2019-01-18T00:00:00","2018-12-26T00:00:00"
"2008","2018-08-28T00:00:00","2018-07-26T00:00:00"
"2007","2017-12-29T00:00:00","2017-12-12T00:00:00"
"2006","2017-12-29T00:00:00","2017-12-12T00:00:00"
