Time	Zone	Year	Mark	Status
2019-02-13 11:12:06	EST	2016	:	opened
2019-02-13 11:13:09	EST	2016	:	preprocessed
2019-02-13 11:15:54	EST	2016	:	divided
2019-02-13 11:17:23	EST	2016	:	treated
2019-02-13 11:17:24	EST	2016	:	swiss-adjusted
2019-02-13 11:19:26	EST	2016	:	M-paired
2019-02-13 11:21:10	EST	2016	:	X-paired
2019-02-13 11:42:02	EST	2016	:	HK-adjusted
2019-02-13 11:48:01	EST	2016	|	uploaded Comtrade-2016-M-matched.csv.bz2
2019-02-13 11:49:08	EST	2016	|	uploaded Comtrade-2016-M-orphaned.csv.bz2
2019-02-13 11:50:56	EST	2016	|	uploaded Comtrade-2016-M-matched-q.csv.bz2
2019-02-13 11:53:27	EST	2016	|	uploaded Comtrade-2016-X-matched.csv.bz2
2019-02-13 11:54:18	EST	2016	|	uploaded Comtrade-2016-X-orphaned.csv.bz2
2019-02-13 11:56:20	EST	2016	|	uploaded Comtrade-2016-X-matched-q.csv.bz2
2019-02-13 11:57:11	EST	2016	|	uploaded Comtrade-2016-M-lost.csv.bz2
2019-02-13 11:58:18	EST	2016	|	uploaded Comtrade-2016-X-lost.csv.bz2
2019-02-13 19:43:39	EST	2015	:	opened
2019-02-13 19:44:40	EST	2015	:	preprocessed
2019-02-13 19:47:25	EST	2015	:	divided
2019-02-13 19:48:46	EST	2015	:	treated
2019-02-13 19:48:46	EST	2015	:	swiss-adjusted
2019-02-13 19:50:44	EST	2015	:	M-paired
2019-02-13 19:52:22	EST	2015	:	X-paired
2019-02-13 20:13:09	EST	2015	:	HK-adjusted
2019-02-13 20:19:23	EST	2015	|	uploaded Comtrade-2015-M-matched.csv.bz2
2019-02-13 20:20:57	EST	2015	|	uploaded Comtrade-2015-M-orphaned.csv.bz2
2019-02-13 20:23:01	EST	2015	|	uploaded Comtrade-2015-M-matched-q.csv.bz2
2019-02-13 20:25:36	EST	2015	|	uploaded Comtrade-2015-X-matched.csv.bz2
2019-02-13 20:26:28	EST	2015	|	uploaded Comtrade-2015-X-orphaned.csv.bz2
2019-02-13 20:28:20	EST	2015	|	uploaded Comtrade-2015-X-matched-q.csv.bz2
2019-02-13 20:29:36	EST	2015	|	uploaded Comtrade-2015-M-lost.csv.bz2
2019-02-13 20:30:45	EST	2015	|	uploaded Comtrade-2015-X-lost.csv.bz2
2019-02-13 23:57:42	EST	2014	:	opened
2019-02-13 23:58:40	EST	2014	:	preprocessed
2019-02-14 00:47:10	EST	2014	:	divided
2019-02-14 00:58:40	EST	2014	:	treated
2019-02-14 00:59:01	EST	2014	:	swiss-adjusted
2019-02-14 01:26:12	EST	2014	:	M-paired
2019-02-14 01:44:50	EST	2014	:	X-paired
2019-02-14 01:45:18	EST	2014	:	HK loaded
2019-02-14 01:45:21	EST	2014	:	HK prepared
2019-02-14 04:00:19	EST	2014	:	HK M-adjusted
2019-02-14 07:04:08	EST	2014	:	HK X-adjusted
