Time	Zone	Year	Mark	Status
2019-02-18 01:15:06	EST	0000	:	prepared
2019-02-18 01:15:39	EST	2016	:	merged FOB
2019-02-18 01:16:15	EST	2016	:	merged Bridge
2019-02-18 01:16:36	EST	2016	:	merged Geo
2019-02-18 01:17:04	EST	2016	:	merged EIA
2019-02-18 01:19:31	EST	2016	|	uploaded Comtrade-2016-M-matched-q.csv.bz2
2019-02-18 01:20:44	EST	2015	:	merged FOB
2019-02-18 01:21:25	EST	2015	:	merged Bridge
2019-02-18 01:21:47	EST	2015	:	merged Geo
2019-02-18 01:22:05	EST	2015	:	merged EIA
2019-02-18 01:24:39	EST	2015	|	uploaded Comtrade-2015-M-matched-q.csv.bz2
2019-02-18 01:25:40	EST	2014	:	merged FOB
2019-02-18 01:26:11	EST	2014	:	merged Bridge
2019-02-18 01:26:40	EST	2014	:	merged Geo
2019-02-18 01:26:57	EST	2014	:	merged EIA
2019-02-18 01:29:32	EST	2014	|	uploaded Comtrade-2014-M-matched-q.csv.bz2
2019-02-18 01:31:07	EST	2013	:	merged FOB
2019-02-18 01:32:01	EST	2013	:	merged Bridge
2019-02-18 01:32:29	EST	2013	:	merged Geo
2019-02-18 01:32:58	EST	2013	:	merged EIA
2019-02-18 01:35:29	EST	2013	|	uploaded Comtrade-2013-M-matched-q.csv.bz2
2019-02-18 01:36:33	EST	2012	:	merged FOB
2019-02-18 01:37:09	EST	2012	:	merged Bridge
2019-02-18 01:37:36	EST	2012	:	merged Geo
2019-02-18 01:37:52	EST	2012	:	merged EIA
2019-02-18 01:40:12	EST	2012	|	uploaded Comtrade-2012-M-matched-q.csv.bz2
2019-02-18 01:41:12	EST	2011	:	merged FOB
2019-02-18 01:41:46	EST	2011	:	merged Bridge
2019-02-18 01:42:06	EST	2011	:	merged Geo
2019-02-18 01:42:23	EST	2011	:	merged EIA
2019-02-18 01:44:46	EST	2011	|	uploaded Comtrade-2011-M-matched-q.csv.bz2
2019-02-18 01:45:48	EST	2010	:	merged FOB
2019-02-18 01:46:22	EST	2010	:	merged Bridge
2019-02-18 01:46:48	EST	2010	:	merged Geo
2019-02-18 01:47:08	EST	2010	:	merged EIA
2019-02-18 01:49:21	EST	2010	|	uploaded Comtrade-2010-M-matched-q.csv.bz2
2019-02-18 01:50:37	EST	2009	:	merged FOB
2019-02-18 01:51:13	EST	2009	:	merged Bridge
2019-02-18 01:51:34	EST	2009	:	merged Geo
2019-02-18 01:51:54	EST	2009	:	merged EIA
2019-02-18 01:54:01	EST	2009	|	uploaded Comtrade-2009-M-matched-q.csv.bz2
2019-02-18 01:55:13	EST	2008	:	merged FOB
2019-02-18 01:55:53	EST	2008	:	merged Bridge
2019-02-18 01:56:09	EST	2008	:	merged Geo
2019-02-18 01:56:32	EST	2008	:	merged EIA
2019-02-18 01:58:56	EST	2008	|	uploaded Comtrade-2008-M-matched-q.csv.bz2
2019-02-18 01:59:45	EST	2007	:	merged FOB
2019-02-18 02:00:17	EST	2007	:	merged Bridge
2019-02-18 02:00:40	EST	2007	:	merged Geo
2019-02-18 02:01:00	EST	2007	:	merged EIA
2019-02-18 02:03:08	EST	2007	|	uploaded Comtrade-2007-M-matched-q.csv.bz2
2019-02-18 02:04:16	EST	2006	:	merged FOB
2019-02-18 02:05:06	EST	2006	:	merged Bridge
2019-02-18 02:05:44	EST	2006	:	merged Geo
2019-02-18 02:06:01	EST	2006	:	merged EIA
2019-02-18 02:08:15	EST	2006	|	uploaded Comtrade-2006-M-matched-q.csv.bz2
2019-02-18 02:09:25	EST	2005	:	merged FOB
2019-02-18 02:10:01	EST	2005	:	merged Bridge
2019-02-18 02:10:25	EST	2005	:	merged Geo
2019-02-18 02:10:49	EST	2005	:	merged EIA
2019-02-18 02:12:53	EST	2005	|	uploaded Comtrade-2005-M-matched-q.csv.bz2
2019-02-18 02:14:01	EST	2004	:	merged FOB
2019-02-18 02:14:34	EST	2004	:	merged Bridge
2019-02-18 02:15:02	EST	2004	:	merged Geo
2019-02-18 02:15:25	EST	2004	:	merged EIA
2019-02-18 02:17:28	EST	2004	|	uploaded Comtrade-2004-M-matched-q.csv.bz2
2019-02-18 02:18:19	EST	2003	:	merged FOB
2019-02-18 02:18:53	EST	2003	:	merged Bridge
2019-02-18 02:19:11	EST	2003	:	merged Geo
2019-02-18 02:19:21	EST	2003	:	merged EIA
2019-02-18 02:21:10	EST	2003	|	uploaded Comtrade-2003-M-matched-q.csv.bz2
2019-02-18 02:21:49	EST	2002	:	merged FOB
2019-02-18 02:22:10	EST	2002	:	merged Bridge
2019-02-18 02:22:21	EST	2002	:	merged Geo
2019-02-18 02:22:36	EST	2002	:	merged EIA
2019-02-18 02:24:19	EST	2002	|	uploaded Comtrade-2002-M-matched-q.csv.bz2
2019-02-18 02:25:11	EST	2001	:	merged FOB
2019-02-18 02:25:45	EST	2001	:	merged Bridge
2019-02-18 02:25:58	EST	2001	:	merged Geo
2019-02-18 02:26:12	EST	2001	:	merged EIA
2019-02-18 02:27:53	EST	2001	|	uploaded Comtrade-2001-M-matched-q.csv.bz2
